#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
238,1,0,0,0,,Acer negundo Seasonally Flooded Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
201,1,0,0,4,,Acer negundo Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
505,1,0,0,0,,Acer negundo Temporarily Flooded Woodland,X,,,,,,,,,,,,,,,,,,,,3,8,7
239,0,0,3,4,,Acer rubrum - Fraxinus pennsylvanica Seasonally Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
528,0,0,3,4,,Acer rubrum - Fraxinus pennsylvanica Tidal Woodland,X,,,,,,,,,,,,,,,,,,,,1,8,7
270,0,0,3,4,,Acer rubrum - Nyssa sylvatica Saturated Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
527,0,0,3,4,,Acer rubrum Saturated Woodland,NA-FR-22,5.01,0.2,0.8,3.6,7.9,5,14.9,1.4,,0,,0,,,,,,,,1,8,7
240,0,0,0,4,,Acer rubrum Seasonally Flooded Forest,NA-FR-22,5.01,0.2,0.8,3.6,7.9,5,14.9,1.4,,0,,0,,,,,,,,1,8,7
519,0,0,3,0,,Acer rubrum Seasonally Flooded Woodland,NA-FR-22,5.01,0.2,0.8,3.6,7.9,5,14.9,1.4,,0,,0,,,,,,,,3,8,7
202,0,0,3,4,,Acer saccharinum Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
132,0,0,3,4,,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest,SMFDB 246,0.66,0.45,2.47,0.89,18.21,5,3.35,1,,0,,0,,,,,,,,1,8,7
203,0,0,3,4,,Acer saccharinum - Fraxinus americana - Tilia americana Forest,SMFDB 246,0.66,0.45,2.47,0.89,18.21,5,3.35,1,,0,,0,,,,,,,,1,8,7
134,0,0,3,4,,Acer saccharum charum - Carya cordiformis Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
133,0,0,3,4,,Acer - Liriodendron tulipifera - Fraxinus americana Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
135,0,0,3,4,,Acer saccharum - Quercus muhlenbergii Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
136,0,0,3,4,,Acer saccharum - Tilia americana - (Quercus rubra) Forest,SMFDB 246,0.66,0.45,2.47,0.89,18.21,5,3.35,1,,0,,0,,,,,,,,1,8,7
