#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
735,1,0,0,0,,Baccharis pteronioides Intermittently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
736,1,0,0,0,,Baccharis salicifolia Intermittently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
790,1,0,0,0,,Baccharis salicina - Baccharis neglecta Seasonally Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
658,1,0,0,0,,Baccharis sarothroides Intermittently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
644,0,2,0,0,,Baccheris pilularis Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
178,0,0,0,4,,Betula alleghaniensis; Fagus grandifolia; Aesculus flava (Acer saccharum) Forest,SMFDB 246,0.66,0.45,2.47,0.89,18.21,5,3.35,1,,0,,0,,,,,,,,1,8,7
179,0,0,0,4,,Betula alleghaniensis Forest,SMFDB 246,0.66,0.45,2.47,0.89,18.21,5,3.35,1,,0,,0,,,,,,,,1,8,7
791,1,2,0,0,,Betula nana Seasonally Flooded Shrubland,SMFDB 282,0.2,0,0,0,0,0,2.5,0.5,,0.1,,2.57,,,,,,,,5,8,7
206,0,0,3,4,,Betula nigra - (Platanus occidentalis) Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
751,0,0,0,4,,Betula nigra Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
737,1,0,0,0,,Betula occidentalis Intermittently Flooded Shrubland,SMFDB276,0,0,0,0,0,0,0,0,,0.1,,4.73,,,,,,,,5,8,7
792,1,0,0,0,,Betula occidentalis Seasonally Flooded Shrubland,SMFDB276,0,0,0,0,0,0,0,0,,0.1,,4.73,,,,,,,,5,8,7
702,1,0,0,0,,Betula occidentalis Shrubland,SMFDB276,0,0,0,0,0,0,0,0,,0.1,,4.73,,,,,,,,5,8,7
752,1,2,0,0,,Betula occidentalis Temporarily Flooded Shrubland,SMFDB276,0,0,0,0,0,0,0,0,,0.1,,4.73,,,,,,,,5,8,7
180,1,0,3,0,,Betula papyrifera Forest,SMFDB 245,0.9,1.34,2.14,2.59,6.92,5,5,0.5,,0.3,,0.5,,,,,,,,3,8,7
477,1,0,3,0,,Betula papyrifera Woodland,SMFDB 245,0.9,1.34,2.14,2.59,6.92,5,5,0.5,,0.3,,0.5,,,,,,,,3,8,7
817,1,0,3,0,,Betula pumila - (Salix spp.) Saturated Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1307,0,0,0,4,,Bigelowia nuttallii Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
938,1,0,0,0,,Bothriochloa barbinoides Herbland,FOFEM 271,0,0,0,0,0,0,0,0,,0.63,,0,,,,,,,,6,8,7
968,1,0,0,0,,Bouteloua curtipendula Herbland,FOFEM 271,0,0,0,0,0,0,0,0,,0.63,,0,,,,,,,,6,8,7
1249,1,0,0,0,,Bouteloua curtipendula Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1268,1,0,0,0,,Bouteloua eriopoda Dwarf-Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
998,1,0,0,0,,Bouteloua eriopoda Herbland,FOFEM 271,0,0,0,0,0,0,0,0,,0.63,,0,,,,,,,,6,8,7
1246,1,0,0,0,,Bouteloua eriopoda Microphyllous Evergreen Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1250,1,0,0,0,,Bouteloua eriopoda Xeromorphic Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1269,1,0,0,0,,Bouteloua gracilis Dwarf-Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
999,1,0,0,0,,Bouteloua gracilis Herbland,SMFDB438,0,0,0,0,0,0,0,0,,1.04,,0,,,,,,,,6,8,7
1251,1,0,0,0,,Bouteloua hirsuta - Bouteloua gracilis - Bouteloua eriopoda Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1000,1,0,0,4,,Bouteloua hirsuta Herbland,FOFEM 271,0,0,0,0,0,0,0,0,,0.63,,0,,,,,,,,6,8,7
1210,0,0,0,4,,Bouteloua hirsuta Wooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1001,1,0,0,4,,Bouteloua ramosa Herbland,FOFEM 271,0,0,0,0,0,0,0,0,,0.63,,0,,,,,,,,6,8,7
738,1,0,0,0,,Brickellia laciniata Intermittently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
703,1,0,0,0,,Buddleja racemosa - Ungnadia speciosa Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1275,0,2,0,0,,Calamagrostis breweri Dwarf-Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1014,0,2,0,0,,Calamagrostis breweri Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1260,0,0,0,4,,Calamagrostis canadensis Saturated Shrub Herbland,Shiflet 1994,0,0,0,0,0,0,0,0,,1.85,,0,,,,,,,,5,8,7
1087,1,0,3,4,,Calamagrostis canadensis Seasonally Flooded Herbland,Shiflet 1994,0,0,0,0,0,0,0,0,,1.85,,0,,,,,,,,6,8,7
928,0,2,0,0,,Calamagrostis nutkaensis Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1015,1,2,0,0,,Calamagrostis purpurascens Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1088,0,0,3,0,,Calamovilfa brevipilis Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
929,1,0,0,0,,Calamovilfa longifolia Herbland,SMFDB433,0,0,0,0,0,0,0,0,,0.9,,0,,,,,,,,6,8,7
65,0,2,0,0,,Calocedrus decurrens - Pseudotsuga menziesii Forest,SMFDB322,1.5,0.27,2.17,3.43,18.16,5,40,3,,0.2,,0.4,,,,,,,,3,8,7
1364,1,0,0,0,,Caltha leptosepala Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1365,1,0,0,0,,Cardamine cordifolia Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1089,1,0,0,0,,Carex (bipartita; capillaris; illiota) Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1016,1,0,0,0,,Carex (ebenea; haydeniana) Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1261,0,0,3,0,,Carex (flava; hystricina; interior; sterilis) Saturated Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1090,1,0,3,0,,Carex (rostrata; utriculata) Seasonally Flooded Herbland,SMFDB202,0,0,0,0,0,0,0,0,,2.94,,0,,,,,,,,6,8,7
1157,1,0,0,0,,Carex aperta Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1091,1,2,3,0,,Carex aquatilis Seasonally Flooded Herbland,SMFDB 293,0,0,0,0,0,0,0,0,,0.53,,0.25,,,,,,,,6,8,7
1092,0,2,0,0,,Carex aquatilis var. dives Seasonally Flooded Herbland,SMFDB 293,0,0,0,0,0,0,0,0,,0.53,,0.25,,,,,,,,6,8,7
1034,1,0,0,0,,Carex arapahoensis Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1093,1,0,3,0,,Carex atherodes Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1158,0,0,0,4,,Carex atlantica - Solidago patula Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1017,0,0,3,0,,Carex bigelowii - Juncus trifidus Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1002,0,0,0,4,,Carex biltmoreana Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1018,0,2,0,0,,Carex breweri Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1094,1,0,0,0,,Carex buxbaumii Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1019,0,2,0,0,,Carex capitata Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1140,0,0,0,4,,Carex comosa - (Carex decomposita) Semipermanently Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1159,0,0,0,4,,Carex crinita - Osmunda spp./Sphagnum spp Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1003,1,2,0,0,,Carex douglasii Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1004,1,0,0,0,,Carex duriuscula Herbland,SMFDB335,0,0,0,0,0,0,0,0,,1.56,,0,,,,,,,,6,8,7
1020,1,0,0,0,,Carex elynoides Herbland,FOFEM 281,0,0,0,0,0,0,0,0,,0.95,,0,,,,,,,,6,8,7
1021,1,2,0,0,,Carex filifolia Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1022,1,0,0,0,,Carex foenea Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
969,1,0,0,0,,Carex hoodii Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1160,1,0,0,4,,Carex interior - Carex lurida Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1095,1,2,0,0,,Carex interior Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1096,0,0,3,0,,Carex lacustris Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1161,1,0,0,0,,Carex lanuginosa - (Carex nebrascensis) - Scirpus spp. Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1097,1,0,0,0,,Carex lanuginosa Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1062,1,0,3,0,,Carex lanuginosa Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1162,1,0,3,0,,Carex lasiocarpa Saturated Herbland,SMFDB203,0,0,0,0,0,0,0,0,,1.87,,0,,,,,,,,6,8,7
1098,1,0,0,0,,Carex lasiocarpa Seasonally Flooded Herbland,SMFDB203,0,0,0,0,0,0,0,0,,1.87,,0,,,,,,,,6,8,7
1099,1,2,0,0,,Carex limosa Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1163,1,0,0,0,,Carex microglochin Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1100,1,0,0,0,,Carex microptera Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1023,1,0,0,0,,Carex nardina Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1101,1,2,0,0,,Carex nebrascensis Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1102,1,2,0,0,,Carex nigricans Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1177,0,2,0,0,,Carex obnupta Tidal Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1164,1,0,3,0,,Carex oligisperma - Carex lasiocarpa Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1005,1,0,0,0,,Carex pensylvanica Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1024,1,0,0,0,,Carex perglobosa Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1103,1,2,0,0,,Carex praegracilis Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1025,0,2,0,0,,Carex proposita Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1026,1,0,0,0,,Carex pseudoscirpoidea Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1035,1,0,0,0,,Carex pyrenaica Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1027,1,0,0,0,,Carex rupestris Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1063,1,0,0,0,,Carex saxatilis Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1028,1,0,0,0,,Carex scirpoidea Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1104,1,2,0,0,,Carex scopulorum Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1165,1,0,0,0,,Carex simulata Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1029,0,2,0,0,,Carex spectabilis Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1166,1,0,0,4,,Carex spp. - Typha spp. Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1064,1,0,3,0,,Carex spp. Plantago eriopoda Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1167,1,0,3,0,,Carex spp. Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1036,1,0,0,0,,Carex straminiformis Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1256,0,0,3,4,,Carex striata Saturated Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1105,0,0,3,4,,Carex striata Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1106,1,0,3,0,,Carex stricta Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1141,0,0,3,4,,Carex stricta Semipermanently Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1065,0,0,0,4,,Carex torta Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1066,0,2,0,0,,Carex unilateralis Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1030,1,0,0,0,,Carex vernacula Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
697,1,0,0,0,,Carnegia gigantea Wooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
207,0,0,0,4,,Carpinus caroliniana Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
138,0,0,3,4,,Carya (glabra; ovata) - Fraxinus americana - Quercus (alba; rubra) Forest,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,,0.05,,0.1,,,,,,,,1,8,7
242,0,0,0,4,,Carya aquatica - Gleditsia aquatica Seasonally Flooded Forest,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,,0.05,,0.1,,,,,,,,1,8,7
208,0,0,0,4,,Carya illinoinensis - (Celtis laevigata) Temporarily Flooded Forest,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,,0.05,,0.1,,,,,,,,1,8,7
861,1,2,0,0,,Cassiope mertensiana Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
869,1,0,0,0,,Cassiope mertensiana Temporarily Flooded Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
139,0,0,0,4,,Castanea dentata - Quercus prinus Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
181,0,0,0,4,,Castanea dentata - Quercus rubra Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
140,0,0,0,4,,castanea dentata Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
593,0,2,0,0,,Castanopsis sempervirens Shrubland,SMFDB35,0.68,0,0,0,0,0,3,1,,0,,22.4,,,,,,,,5,8,7
594,0,2,0,0,,Ceanothus cordulatus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
595,0,2,0,0,,Ceanothus crassifolius Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
596,0,2,0,0,,Ceanothus cuneatus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
597,0,2,0,0,,Ceanothus greggii - Fremontodendron californicum Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
704,1,2,0,0,,Ceanothus integerrimus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
598,0,2,0,0,,Ceanothus leucodermis Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
599,0,2,0,0,,Ceanothus megacarpus - Cercocarpus montanus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
600,0,2,0,0,,Ceanothus megacarpus - Rhamnus ilicifolia Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
601,0,2,0,0,,Ceanothus megacarpus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
602,0,2,0,0,,Ceanothus oliganthus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
570,0,2,0,0,,Ceanothus thyrsiflorus Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
603,1,0,0,0,,Ceanothus velutinus Shrubland,SMFDB034,2.22,0,0,0,0,0,12,2,,0.15,,33.9,,,,,,,,5,8,7
209,0,0,0,4,,Celtis laevigata - Ulmus crassifolia Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
141,0,0,0,4,,Celtis laevigata Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
827,1,0,0,0,,Celtis laevigata var. reticulata Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
478,1,0,0,0,,Celtis laevigata var. reticulata Woodland,X,,,,,,,,,,,,,,,,,,,,3,8,7
793,0,0,3,4,,Cephalanthus occidentalis Seasonally Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
811,0,0,3,4,,Cephalanthus occidentalis Semipermanently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
645,0,0,0,4,,Ceratiola ericoides Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
646,1,2,0,0,,Cercocarpus ledifolius Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
469,1,2,0,0,,Cercocarpus ledifolius Woodland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,3,8,7
665,0,2,0,0,,Cercocarpus montanus - Eriogonum fasciculatum Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
1233,1,0,0,0,,Cercocarpus montanus Shrub Herbland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
705,1,0,0,0,,Cercocarpus montanus Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
470,1,2,0,0,,Cercocarpus montanus Woodland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,3,8,7
29,0,2,0,0,,Chamaecyparis lawsoniana Forest,FOFEM 171GC,1,0.9,2.1,2.8,50,5,35,2,,0.2,,0.35,,,,,,,,3,8,7
91,0,2,0,0,,Chamaecyparis lawsoniana Temporarily Flooded Forest,SMFDB010 GC,1,0.2,0.7,0.6,26.3,5,50,13.5,,0,,0,,,,,,,,3,8,7
66,0,2,0,0,,Chamaecyparis nootkatensis Forest,SMFDB010 GC,1,0.2,0.7,0.6,26.3,5,50,13.5,,0,,0,,,,,,,,3,8,7
92,0,2,0,0,,Chamaecyparis nootkatensis Temporarily Flooded Forest,SMFDB010 GC,1,0.2,0.7,0.6,26.3,5,50,13.5,,0,,0,,,,,,,,3,8,7
428,0,2,0,0,,Chamaecyparis nootkatensis Woodland,SMFDB010 GC,1,0.2,0.7,0.6,26.3,5,50,13.5,,0,,0,,,,,,,,3,8,7
351,0,0,3,4,,Chamaecyparis thyoides - Acer rubrum Saturated Forest,X        GC,,,,,,,,,,,,,,,,,,,GG,1,8,7
116,0,0,3,4,,Chamaecyparis thyoides Saturated Forest,X        GC,,,,,,,,,,,,,,,,,,,GG,1,8,7
455,0,0,3,4,,Chamaecyparis thyoides Saturated Woodland,X        GC,,,,,,,,,,,,,,,,,,,GG,1,8,7
105,0,0,0,4,,Chamaecyparis thyoides Seasonally Flooded Forest,X        GC,,,,,,,,,,,,,,,,,,,GG,1,8,7
451,0,0,3,4,,Chamaecyparis thyoides Seasonally Flooded Woodland,X        GC,,,,,,,,,,,,,,,,,,,GG,1,8,7
872,0,0,3,0,,Chamaedaphne calyculata (Kalmia angustifolia) Seasonally Flooded Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
874,0,0,3,4,,Chamaedaphne calyculata Saturated Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1257,0,0,3,4,,Chamaedaphne calyculata/Carex lasiocarpa Saturated Shrub Herbland,SMFDB 282,0.2,0,0,0,0,0,2.5,0.5,,0.1,,2.57,,,,,,,,5,8,7
838,1,0,0,0,,Chilopsis linearis Intermittently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
855,0,0,0,4,,Chrysoma pauciflosculosa Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1366,0,0,3,4,,Chrysosplenium americanum Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
647,1,0,0,0,,Chrysothamnus albidus Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1247,1,0,0,0,,Chrysothamnus nauseosus Shrub Short Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
648,1,0,0,0,,Chrysothamnus nauseosus Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
1227,1,0,0,0,,Chrysothamnus viscidiflorus Shrub Herbland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
649,1,2,0,0,,Chrysothamus parryi Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
1285,1,0,0,0,,Cirsium scopulorum Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1168,0,0,3,4,,Cladium mariscoides Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1107,0,0,3,4,,Cladium mariscoides Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
910,0,0,0,4,,Cladium mariscus ssp. jamaicense Seasonally Flooded Freshwater Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1178,0,0,0,4,,Cladium mariscus ssp. jamaicense Tidal Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1308,1,0,0,0,,Claytonia megarhiza Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
650,0,2,0,0,,Cleome isomeris - Ephedra californica - Ericameria linearifolia Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
13,0,0,0,4,,Cliftonia monophylla Saturated Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
556,0,0,0,4,,Coccoloba unifera Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
687,1,2,0,0,,Coleogyne ramosissima Shrubland,FOFEM 341,0.11,0,0,0,0,0,0,0,,0.2,,2.28,,,,,,,,5,8,7
18,0,0,0,4,,Conocarpus erectus - Metopium toxiferum Saturated Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
19,0,0,0,4,,Conocarpus erectus - Sideroxylon celastrinum Saturated Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
565,0,0,0,4,,Conocarpus erectus saturated Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
563,0,0,0,4,,Conocarpus erectus Seasonally Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
364,0,0,0,4,,Conocarpus erectus Seasonally Flooded Woodland,X,,,,,,,,,,,,,,,,,,,,1,8,7
243,0,0,0,4,,Cornus foemina Seasonally Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
794,0,0,3,0,,Cornus sericea - Salix spp. Seasonally Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
753,1,0,0,0,,Cornus sericea Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
818,0,0,3,4,,Cornus spp. - Salix spp. Saturated Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1338,0,2,0,0,,Corydalus scouleri Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
706,0,0,0,4,,Corylus americana - (Spireaea tomentosa; Malus ioensis) Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
707,0,0,3,0,,Corylus cornuta - Amelanchier spp. Shrubland Alliance,X,,,,,,,,,,,,,,,,,,,,5,8,7
708,0,0,0,4,,Crataegus crus-gallii Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
739,1,2,0,0,,Crataegus douglasii Intermittently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
709,1,2,0,0,,Crataegus douglasii Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
754,1,0,0,0,,Crataegus douglasii Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
244,0,0,0,4,,Crataegus opaca Seasonally Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
710,0,0,0,4,,Crataegus spathulata Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
755,1,0,0,0,,Crataegus succulenta Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
67,1,0,0,0,,Cupressus arizonica Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
632,0,2,0,0,,Cupressus goveniana Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
37,0,2,0,0,,Cupressus macnabiana Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
381,0,2,0,0,,Cupressus sargentii Woodland,X,,,,,,,,,,,,,,,,,,,,3,8,7
628,0,0,0,4,,Cyrilla racemiflora Saturated Shrubland,SMFDB120,4.45,0,0,0,0,0,3.8,1,,0,,4,,,,,,,,5,8,7
1367,0,0,0,4,,Dalea foliosa - Mecardonia acuminata Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
970,1,2,0,0,,Danthonia californica Herbland,FOFEM 281,0,0,0,0,0,0,0,0,,0.95,,0,,,,,,,,6,8,7
1006,0,0,0,4,,Danthonia compressa Herbland,FOFEM 281,0,0,0,0,0,0,0,0,,0.95,,0,,,,,,,,6,8,7
1248,0,0,0,4,,Danthonia compressa Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1037,1,0,0,0,,Danthonia intermedia Herbland,FOFEM 281,0,0,0,0,0,0,0,0,,0.95,,0,,,,,,,,6,8,7
1038,1,0,0,0,,Danthonia parryi Herbland,FOFEM 281,0,0,0,0,0,0,0,0,,0.95,,0,,,,,,,,6,8,7
939,0,0,3,0,,Danthonia spicata Herbland,FOFEM 281,0,0,0,0,0,0,0,0,,0.95,,0,,,,,,,,6,8,7
1368,0,2,0,0,,Darlingtonia californica Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
795,0,0,0,4,,Decodon verticillatus Seasonally Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
812,0,0,3,0,,Decodon verticillatus Semipermanently Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1169,1,0,3,0,,Deschampsia cespitosa Saturated Herbland,FOFEM 291,0,0,0,0,0,0,0,0,,1.25,,0,,,,,,,,6,8,7
