"# FOFEM SAF Cover File; DCL Updated with new EF groups Sept. 12, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Contains Emission Group Numbers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,2,3,0,SAF 001,Jack Pine,FOFEM 121,0.7,0.17,0.93,0,3,5,34,2.5,GB,0.15,H1,,S1,6,F1,4.8,B1,,RJP,2,7,6
84,0,0,3,0,SAF 005,Balsam Fir,CFM-Boreal,,,,,,,,,GC,,H1,,S1,,F1,,B1,,BBS,2,8,6
87,0,2,3,0,SAF 012,Black Spruce,FOFEM 151,13.9,0,0,0,0,5,50,3.8,GC,0.15,H1,0,S1,6,F1,3.9,B1,,BBS,2,8,6
113,0,2,3,0,SAF 012,Black Spruce - example loads from photoseries PMS-831,PMS-831,6.8,0.1,0.2,0.5,2.4,5,75.49,5.1,GC,0.31,H1,0.23,S1,,F1,,B1,,BBS,2,8,6
87,0,2,3,0,SAF 204,Black Spruce,FOFEM 151,13.9,0,0,0,0,5,50,3.8,GC,0.15,H1,0,S1,6,F1,3.9,B1,,BBS,2,8,6
113,0,2,3,0,SAF 204,Black Spruce - example loads from photoseries PMS-831,PMS-831,6.8,0.1,0.2,0.5,2.4,5,75.49,5.1,GC,0.31,H1,0.23,S1,,F1,,B1,,BBS,2,8,6
114,0,2,3,0,SAF 013,Black Spruce - Tamarack,FOFEM 151,13.9,0,0,0,0,5,50,3.8,GC,0.15,H1,0,S1,6,F1,3.9,B1,,BBS,2,8,6
133,0,2,3,0,SAF 013,Black Spruce - Tamarack - example loads from photoseries PMS-831,PMS-831,6.8,0.1,0.2,0.5,2.4,5,75.49,5.1,GC,0.31,H1,0.23,S1,,F1,,B1,,BBS,2,8,6
158,0,0,3,0,SAF 014,Northern Pin Oak,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,GD,0.05,H1,0.1,S1,,F1,,B1,,,2,7,6
161,0,0,3,0,SAF 015,Red Pine,FOFEM 131,1.1,0.25,1.35,0,3,5,12,1.5,GB,0.15,H1,0,S1,6,F1,4.8,B1,,RJP,2,7,6
289,1,2,3,0,SAF 016,Aspen,FOFEM 561,0.9,0.2,0.8,1,3,5,5,0.5,GD,0.3,H1,0.5,S1,,F1,,B1,,,3,7,6
293,0,0,3,0,SAF 017,Pin Cherry,SMFDB 244,0.9,0.97,1.98,1.5,8.66,5,5,0.5,GD,0.3,H1,0.5,S1,,F1,,B1,FOFEM 561,,2,7,6
85,0,0,3,0,SAF 018,Paper Birch,FOFEM 561,0.9,0.2,0.8,1,3,5,5,0.5,GD,0.3,H1,0.5,S1,,F1,,B1,,,2,7,6
