# Version 5.9.1  - must be same number as the Fofem program's
#
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
MAGSPP  Magnolia species -- Magnolias                  1  18   34 39
MAGVIR  Magnolia virginiana -- Sweetbay                1  19   34 39
MALPRU  Malus/Prunus species -- Apples/Cherries        1  17    4 39
MALSPP  Malus species -- Apples                        1  22   34 39
MORALB  Morus alba -- White mulberry                   1  17    4 39
MORRUB  Morus rubra -- Red mulberry                    1  17    4 39
MORSPP  Morus species -- Mulberries                    1  12   34 39
NYSAQU  Nyssa aquatica -- Water tupelo                 1   9    4 39
NYSOGE  Nyssa ogache -- Ogeechee tupelo                1  17    4 39
NYSSPP  Nyssa species -- Tupelos                       1   4   34 39
NYSSYL  Nyssa sylvatica -- Black tupelo                1  18   34 39
NYSSYLB Nyssa sylvatica var. biflora -- Swamp tupelo   1  16    4 39
OSTVIR  Ostrya virginiana -- Eastern hophornbeam       1  16   34 39
OXYARB  Oxydendrum arboreum -- Sourwood                1  15   34 39
PAUTOM  Paulownia tomentosa -- Paulownia               1  29   34 39
PERBOR  Persea borbonia -- Redbay                      1  17    4 39
PICABI  Picea abies -- Norway spruce                   3   8   34 10
PICENG  Picea engelmannii -- Engelmann spruce         15  15 12   10 ES
PICGLA  Picea glauca -- White spruce                   3   4 123  10
PICMAR  Picea mariana -- Black spruce                  3  11  234 10
PICPUN  Picea pungens -- Blue spruce                   3  10 1    10
PICRUB  Picea rubens -- Red spruce                     3  13   34 10
PICSIT  Picea sitchensis -- Sitka spruce               3   6  2   10
PICSPP  Picea species -- Spruces                       3  13   34 10
PINALB  Pinus albicaulis -- Whitebark pine            17   9 12   31 WP
PINATT  Pinus attenuata -- Knobcone pine               1   9  2   32
PINBAN  Pinus banksiana -- Jack pine                   1  19   3  11
PINCLA  Pinus clausa -- Sand pine                      1  14    4 11
PICO    Pinus contorta -- Lodgepole pine              17   7 12   11 WP
PINECH  Pinus echinata -- Shortleaf pine               1  16   34 15
PINELL  Pinus elliottii -- Slash pine                  1  31    4 15
PINFLE  Pinus flexilis -- Limber pine                  1   9 1    31
PINGLA  Pinus glabra -- Spruce pine                    1  14    4 11

# See Note-1 above, Jeffrey  has 2 Post Fire Injury equations
PINJEF  Pinus jeffreyi -- Jeffrey pine                19  37 12   12 PP
PINJEFk Pinus jeffreyi -- Jeffrey pine                19  37 12   12 PK P

PINLAM  Pinus lambertiana -- Sugar pine               18  38 12   13 SP
PINMON  Pinus monticola -- Western white pine          1  14 12   14
PINPAL  Pinus palustrus -- Longleaf pine               1  28    4 15

# See Note-1 above, Ponderosa has 2 Post Fire Injury equations
PIPO    Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PINPONk Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P

PINPUN  Pinus pungens -- Table mountain pine           1  19   34 11
PINRES  Pinus resinosa -- Red pine                     1  22   34 11
PINRIG  Pinus rigida -- Pitch pine                     1  24   34 11
PINSAB  Pinus sabiniana -- Digger pine                 1  12  2   15
PINSER  Pinus serotina -- Pond pine                    1  35   34 11
PINSPP  Pinus species -- Pines                         1   9   34 11
PINSTR  Pinus strobus -- Eastern white pine            1  24   34 14
PINSYL  Pinus sylvestris -- Scotch pine                1   9   34 11
PINTAE  Pinus taeda -- Loblolly pine                   1  30   34 15
PINVIR  Pinus virginiana -- Virginia pine              1  12   34 11
PLAOCC  Plantus occidentalis -- American sycamore      1  12   34 39
POPBAL  Populus balsamifera -- Balsam poplar           1  19   34 27
POPDEL  Populus deltoides -- Eastern cottonwood        1  19   34 27
POPGRA  Populus grandidentata -- Bigtooth aspen        1  18   34 26
POPHET  Populus heterophylla -- Swamp cottonwood       1  29   34 27
POPSPP  Populus species -- Poplars                     1  17   34 27
POPTRE  Populus tremuloides -- Quaking aspen           4  23 1234 26
POPTRI  Populus trichocarpa -- Black cottonwood        1  23  2   27
PRUAME  Prunus americana -- American plum              1  19   3  39
PRUEMA  Prunus emarginata -- Bitter cherry             1  35  2   36
PRUDEN  Prunus pensylvanica -- Pin cherry              1  24   34 36
PRUSER  Prunus serotina -- Black cherry                1   9   34 36
PRUSPP  Prunus species -- Cherries                     1  29   34 36
PRUVIR  Prunus virginiana -- Chokecherry               1  19   3  36
PSME    Pseudotsuga menziesii -- Douglas-fir          20  36 12   16 DF
QUEAGR  Quercus agrifolia -- Coast live oak            1  29  2   28
QUEALB  Quercus alba -- White oak                      1  19   34 28
QUEBIC  Quercus bicolor -- Swamp white oak             1  24   34 28
QUECHR  Quercus chrysolepis -- Canyon live oak         1   3  2   28
QUEOCC  Quercus coccinea -- Scarlet oak                1  19   34 28
QUEDOU  Quercus douglasii -- Blue oak                  1  12  2   28
QUEELL  Quercus ellipsoidalis -- Northern pin oak      1  17   34 28
QUEENG  Quercus engelmannii -- Engelmann oak           1  33  2   28
QUEFAL  Quercus falcata -- Southern red oak            1  23   34 28
QUEGAR  Quercus garryana -- Oregon white oak           1   8  2   28
QUEIMB  Quercus imbricaria -- Shingle oak              1  20   34 28
QUEINC  Quercus incana -- Bluejack oak                 1  17    4 28
QUEKEL  Quercus kellogii -- Califonia black oak        1   9  2   28
QUELAE  Quercus laevis -- Turkey oak                   1  16    4 28
QUELAU  Quercus laurifolia -- Laurel oak               1  15    4 28
QUELOB  Quercus lobata -- California white oak         1  22  2   28
QUELYR  Quercus lyrata -- Overcup oak                  1  18   34 28
QUEMAC  Quercus macrocarpa -- Bur oak                  1  21   34 28
QUEMAR  Quercus marilandica -- Blackjack oak           1  16   34 28
QUEMIC  Quercus michauxii -- Swamp chestnut oak        1  25   34 28
QUEMUE  Quercus muehlenbergii -- Chinkapin oak         1  21   34 28
QUENIG  Quercus nigra -- Water oak                     1  15   34 28
QUENUT  Quercus nuttallii -- Nuttall oak               1   9    4 28
QUEPAL  Quercus palustris -- Pin oak                   1  20   34 28
QUEPHE  Quercus phellos -- Willow oak                  1  20   34 28
QUEPRI  Quercus prinus -- Chestnut oak                 1  28   34 28
QUERUB  Quercus rubra -- Northern red oak              1  21   34 28
QUESHU  Quercus shumardii -- Shumard oak               1  16   34 28
QUESPP  Quercus species -- Oaks                        1  24   34 28
QUESTE  Quercus stellata -- Post oak                   1  23   34 28
QUEVEL  Quercus velutina -- Black oak                  1  24   34 28
QUEVIR  Quercus virginiana -- Live oak                 1  22    4 28
QUEWIS  Quercus wislizenii -- Interior live oak        1  13  2   28
ROBPSE  Robinia pseudoacacia -- Black locust           1  28   34 39
SALDIA  Salix bebbiana -- Diamond willow               1  19   3  37
SALNIG  Salix nigra -- Black willow                    1  19   34 37
SALSPP  Salix species -- Willows                       1  20  234 37
SASALB  Sassafras albidum -- Sassafras                 1  14   34 39
SEQGIG  Sequoia gigantea -- Giant sequoia              1  39  2   17
SEQSEM  Sequoia sempervirens -- Redwood                1  39  2   17
SORAME  Sorbus americana -- American mountain-ash      1  19   3  39
TAXBRE  Taxus brevifolia -- Pacific yew                1   4 12   33
TAXDIS  Taxodium distichum -- Baldcypress              1   4   34 39
TAXDISN Taxodium distictum var. nutans -- Pondcypress  1  21    4 39
THUOCC  Thuja occidentalis -- Northern white-cedar     1   4   34 18
THUPLI  Thuja plicata -- Western redcedar              1  14 12   18
THUSPP  Thuju species -- Arborvitae                    1  12   34 18
TILAME  Tilia americana -- American basswod            1  17   34 39
TILHET  Tilia heterophylla -- White basswood           1  29   34 39
TSUCAN  Tsuga canadensis -- Eastern hemlock            1  18   34 19
TSUHET  Tsuga heterophylla -- Western hemlock          1  19 12   19
TSUMER  Tsuga mertensiana -- Mountain hemlock          1  19 12   20
ULMALA  Ulmus alata -- Winged elm                      1  10   34 39
ULMAME  Ulmus americana -- American elm                1  10   34 39
ULMPUM  Ulmus pumila -- Siberian elm                   1  17   34 39
ULMRUB  Ulmus rubra -- Slippery elm                    1  11   34 39
ULMSPP  Ulmus species -- Elms                          1  18   34 39
ULMTHO  Ulmus thomasii -- Rock elm                     1  12   34 39
UMBCAL  Umbellularia califonica -- California-laurel   1   5  2   39
