# FOFEM SAF Cover File; DCL Updated May 9 2016
# Contains Emission Group Numbers
# Fuel Ref,West,Pacif,NthEst,SthEst, Code, Cover, Ref., Lit,1hr,10hr,100hr,1000hr,QMD,Duff,DuffDepth, Cd, Herb, Cd,  Shr, Cd, Foli, Cd, Bran, Cd, Add. Ref, Cover Group, Flame EF,Duff EF, Smolder 1K EF
70,0,0,0,4,SAF 051,White Pine - Chestnut Oak,FOFEM 141,0.7,0.17,0.93,0,3,5,11,1.7,GA,0.15,H1,0,S1,4,F1,2.8,B1,,,1,8,7
71,0,0,0,4,SAF 052,White Oak - Black Oak - Northern Red Oak,McDaniel,1.57,0.14,0.58,1.65,5.19,5,1.48,0.31,GD,0.02,H1,0.08,S1,0,F1,0,B1,,,1,8,7
72,0,0,3,4,SAF 052,White Oak - Black Oak - Northern Red Oak - ex. From N.J.; Lang and Foreman '78,SMFDB 445,1.02,0.57,1,0.96,9.5,5,3.97,1.8,GD,0.05,H1,0.1,S1,,F1,,B1,FOFEM 231,,2,8,7
73,0,0,3,4,SAF 053,White Oak,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,GD,0.05,H1,0.1,S1,,F1,,B1,,,2,8,7
75,0,0,3,4,SAF 055,Northern Red Oak,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,GD,0.05,H1,0.1,S1,,F1,,B1,,,2,8,7
88,0,0,3,4,SAF 057,Yellow-Poplar,CFM-OCT,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
76,0,0,3,4,SAF 058,Yellow-Poplar - Eastern Hemlock,CFM-OCT,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
77,0,0,3,4,SAF 059,Yellow Poplar - White Oak - Northern Red Oak,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,GD,0.05,H1,0.1,S1,,F1,,B1,,,2,8,7
78,0,0,3,0,SAF 060,Beech - Sugar Maple,NA-FR-22,0.66,0.2,1,2.5,5.9,5,3.35,1,GD,0,H1,0,S1,,F1,,B1,SMFDB 300,,2,8,7
13,0,0,3,4,SAF 061,River Birch - Sycamore,CFM-OCT,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
14,0,0,3,4,SAF 062,Silver Maple - American Elm,CFM-OCT,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
10,1,0,3,4,SAF 063,Cottonwood,CFM Riparian,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
