#FCCS Cover File; DCL Updated May 9 2016
#reg,reg,reg,reg,Num-Name,F,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG, Flame EF,Duff EF, Smolder 1K EF
#_,-,_,-,___________________________________________________________________________________________,_,------,______,------,______,------,______,------,______,------,______,------,______,------,______,------,______,---,___,---,___
I,,,,034 Interior Douglas-fir -- interior ponderosa pine / gambel,x,1.33,9.75,1,2.22,0.2,0.1,1.5,4,2,3,5,1.8,1.7,0,3.51,0.88,PN,3,8,7
P,,,,036 California live oak -- blue oak woodland,x,0.54,4.3,1,3.22,0.4,0.5,0.5,1,1,1,0.2,0.2,0.2,0.2,0.97,0.24,,3,8,7
P,,,,037 Ponderosa pine -- Jeffrey pine forest,x,0.76,22.1,2,3.1,0.31,0.1,1,1.5,1.2,2.5,0,0.6,2.5,0,6.93,1.73,PN,3,8,7
P,,,,038 Douglas-fir -- madrone -- tanoak forest,x,3.01,7.4,0.8,1.27,0.2,1,2,2,3,3,7,0,0,0,15.04,3.76,,3,8,7
P,,,,039 Sugar pine -- Douglas-fir -- oak forest,x,1.93,8.32,0.8,0.32,0.1,0.4,2.1,1.1,2.6,1.5,0,0.7,0.4,0,15.77,3.94,,3,8,7
I,,,,040 Tobosa -- grama grassland,x,0,0,0,1.44,0.08,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,I,,,041 Idaho fescue -- bluebunch wheatgrass grassland,x,0.18,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
I,,,,042 Quaking aspen / Engelmann spruce forest,x,0.7,11.22,1.3,0.02,0.4,0.3,0.7,1.8,9,0.6,0,5,0,0,5.84,1.46,,3,8,7
I,,,,043 Arizona white oak -- gray oak -- Emory oak woodland,x,0.37,2.08,0.4,0.95,0.5,0.1,0.4,0.8,1,0,0,0,0,0,2.89,0.72,,3,8,7
P,I,,,044 Scrub oak chaparral shrubland,x,4.65,0.6,0.1,9.82,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,SG,5,8,7
I,,,,045 Pine -- oak forest,x,2.23,3.9,1,1.77,0.1,0.4,1,1,4,1,0,3,0.5,0,2.27,0.57,,3,8,7
P,,,,046 Chamise chaparral shrubland,x,0.3,3.12,0.4,12.23,0,0.5,1,1,0,0,0,0,0,0,0,0,SG,5,8,7
P,,,,047 Redwood -- tanoak forest,x,2.45,51.2,4.5,2.85,0.5,0.4,2,3,8,12,8,6,8,6,12.07,3.02,,3,8,7
P,,,,048 Douglas-fir -- tanoak -- madrone -- California bay fores,x,3.23,17,1.5,6.06,0.1,0.5,1,2,2,1.5,1.5,2,2,4,17.33,4.33,,3,8,7
P,,,,049 Creosote bush shrubland,x,0.05,0,0,1.08,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,SG,5,8,7
