# Changed species codes to the NRCS format May 17, 2012 - DCL
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
#        1         2         3         4         5         6         7
#234567890123456789012345678901234567890123456789012345678901234567890123
# SPP   Name                                        Mort Brk Reg Crn PF P
#------ ______________________________________________-- ___ ---- __ -- _
BELE    Betula lenta -- Sweet birch                    1   9    4 24
BENI    Betula nigra -- River Birch                    1   8   34 24
BEOC2   Betula occidentalis -- Water birch             1  29   34 24
BEOCI   Betula occidentalis -- Water birch             1  29   34 24
BEPA    Betula papyrifera -- Paper birch               1   6  234 24
BEPAC2  Betula papyrifera -- Mountian paper birch      1   6  234 24
BEPAP   Betula papyrifera -- Paper birch               1   6  234 24
BEPAK   Betula papyrifera -- Kenai birch               1   6  234 24
BEPAP   Betula papyrifera -- Paper birch               1   6  234 24
BEPAC   Betula papyrifera -- Paper birch               1   6  234 24
BEPAE   Betula papyrifera -- Paper birch               1   6  234 24
BEPAM2  Betula papyrifera -- Paper birch               1   6  234 24
BEPAP2  Betula papyrifera -- Paper birch               1   6  234 24
BETSPP  Betula species  -- Birches                     1  12  234 24
CEOC    Celtis occidentalis -- Common hackberry        1  14   34 24
CEOCC   Celtis occidentalis -- Common hackberry        1  14   34 24
CEOCC3  Celtis occidentalis -- Common hackberry        1  14   34 24
CEOCC4  Celtis occidentalis -- Common hackberry        1  14   34 24
CEOCO2  Celtis occidentalis -- Common hackberry        1  14   34 24
CEOCP   Celtis occidentalis -- Common hackberry        1  14   34 24
CANO9   Callitropsis nootkatensis -- Alaska cedar      1   2  2   09
CAAQ2   Carya aquatica -- Water hickory                1  19   34 39
CAAQA3  Carya aquatica -- Water hickory                1  19   34 39
CACA18  Carpinus caroliniana -- American hornbeam      1   9   34 39
CACAC2  Carpinus caroliniana -- American hornbeam      1   9   34 39
CACAV   Carpinus caroliniana -- American hornbeam      1   9   34 39
CACAV2  Carpinus caroliniana -- American hornbeam      1   9   34 39
CAAL27  Carya alba -- Mockernut hickory                1  22   34 39
CACA38  Carya carolinae-septentrionalis -- Shagbark hi 1  19   34 39
CACOL3  Carya cordiformis -- Bitternut hickory         1  16   34 39
CACO15  Carya cordiformis -- Bitternut hickory         1  16   34 39
CAGL8   Carya glabra -- Pignut hickory                 1  16   34 39
CAGLG2  Carya glabra -- Pignut hickory                 1  16   34 39
CAGLH   Carya glabra -- Pignut hickory                 1  16   34 39
CAGLM   Carya glabra -- Pignut hickory                 1  16   34 39
CAIL2   Carya illinoinensis -- Pecan                   1  15   34 39
CALA21  Carya laciniosa -- Shellbark hickory           1  22   34 39
CAOV2   Carya ovata -- Shagbark hickory                1  19   34 39
CAOVC   Carya ovata -- Shagbark hickory                1  19   34 39
CAOVA   Carya ovata -- Shagbark hickory                1  19   34 39
CAOVF   Carya ovata -- Shagbark hickory                1  19   34 39
CAOVN   Carya ovata -- Shagbark hickory                1  19   34 39
CAOVP   Carya ovata -- Shagbark hickory                1  19   34 39
CAOVA   Carya ovata -- Shagbark hickory                1  19   34 39
CARSPP  Carya species -- Hickories                     1  23   34 39
CATE9   Carya texana -- Black hickory                  1  19    4 39
CATEA   Carya texana -- Black hickory                  1  19    4 39
CATEV   Carya texana -- Black hickory                  1  19    4 39
CATO6   Carya tomentosa -- Mockernut hickory           1  22   34 39
CATOS   Carya tomentosa -- Mockernut hickory           1  22   34 39
CACHM   Castanopsis chrysophylla -- Giant chinkapin    1  24  2   25
CACH6   Castanopsis chrysophylla -- Giant chinkapin    1  24  2   25
CADE12  Castanea dentata -- American chestnut          1  19   3  39
CAAM29  Castanea americana -- American chestnut        1  19   3  39
CATSPP  Catalpa species -- Catalpas                    1  16    4 39
CELA    Celtis laevigata -- Sugarberry                 1  15   34 39
CELAB   Celtis laevigata -- Sugarberry                 1  15   34 39
CELAL   Celtis laevigata -- Sugarberry                 1  15   34 39
CELAA   Celtis laevigata -- Sugarberry                 1  15   34 39
CELAB2  Celtis laevigata -- Sugarberry                 1  15   34 39
CELAR   Celtis laevigata -- Netleaf hackberry          1  15   34 39
CELAT8  Celtis laevigata -- Texan sugarberry           1  15   34 39
CECA4   Cercis canadensis -- Eastern redbud            1  14   34 39
CECAC   Cercis canadensis -- Eastern redbud            1  14   34 39
CECAM   Cercis canadensis -- Mexican redbud            1  14   34 39
CECAM2  Cercis canadensis -- Mexican redbud            1  14   34 39
CECAT   Cercis canadensis -- Texas redbud              1  14   34 39
CECAT2  Cercis canadensis -- Texas redbud              1  14   34 39
CHLA    Chamaecyparis lawsoniana -- PortOrford-cedar   1  39  2   09
CHNO    Chamaecyparis nootkatensis -- Alaska-cedar     1   2  2   09
CHTH2   Chamaecyparis thyoides -- Atlantic white-cedar 1   4   34 09
CHTHH   Chamaecyparis thyoides -- Atlantic white-cedar 1   4   34 09
CHCHC4  Chrysolepis chrysophylla -- Giant chinkapin    1  24  2   25
CHCHM   Chrysolepis chrysophylla -- Giant chinkapin    1  24  2   25
COFL2   Cornus florida -- Flowering dogwood            1  20   34 34
CONU4   Cornus nuttallii -- Pacific dogwood            1  35  2   34
CORSPP  Cornus species -- Dogwoods                     1  10   34 34
CRDO2   Crataegus douglasii -- Black hawthorn          1  17    4 35
CRDOD   Crataegus douglasii -- Black hawthorn          1  17    4 35
CRASPP  Crataegus species -- Hawthorns                 1  35  2   35
CUNO    Cupressus nootkatensis -- Nootka Cypress       1   2  2   09
CUTH    Cupressus thyoides -- Atlantic white-cedar     1   4   34 09
CUTHH   Cupressus thyoides -- Atlantic white-cedar     1   4   34 09
DIVI5   Diospyros virginiana -- Persimmon              1  20   34 39
DIVIM2  Diospyros virginiana -- Persimmon              1  20   34 39
DIVIP2  Diospyros virginiana -- Persimmon              1  20   34 39
DIVIP3  Diospyros virginiana -- Persimmon              1  20   34 39
DIVIV4  Diospyros virginiana -- Persimmon              1  20   34 39
FAGR    Fagus grandifolia -- American beech            1   4   34 39
FAGRH   Fagus grandifolia -- American beech            1   4   34 39
FAGRC   Fagus grandifolia -- American beech            1   4   34 39
FRAM2   Fraxinus americana -- White ash                1  21   34 39
FRAMB   Fraxinus americana -- White ash                1  21   34 39
FRAMC   Fraxinus americana -- White ash                1  21   34 39
FRAMC2  Fraxinus americana -- White ash                1  21   34 39
FRAMJ   Fraxinus americana -- White ash                1  21   34 39
FRAMM   Fraxinus americana -- White ash                1  21   34 39
FRNI    Fraxinus nigra -- Black ash                    1  14   34 39
FRPE    Fraxinus pennsylvanica -- Green ash            1  18   34 39
FRPEA   Fraxinus pennsylvanica -- Green ash            1  18   34 39
FRPEI   Fraxinus pennsylvanica -- Green ash            1  18   34 39
FRPEL   Fraxinus pennsylvanica -- Green ash            1  18   34 39
FRPES   Fraxinus pennsylvanica -- Green ash            1  18   34 39
FRPR    Fraxinus profunda -- Pumpkin ash               1  16   34 39
FRQU    Fraxinus quadrangulata -- Blue ash             1   9   34 39
FRASPP  Fraxinus species -- Ashes                      1  21   34 39
GLTR    Gleditsia triacanthos -- Honeylocust           1  17   34 39
GLTRI   Gleditsia triacanthos -- Honeylocust           1  17   34 39
GOLA    Gordonia lasianthus -- Loblolly bay            1  17    4 39
GYDI    Gymnocladus dioicus -- Kentucky coffeetree     1  10   34 39
HALSPP  Halesia species -- Silverbells                 1  17    4 39
ILOP    Ilex opaca -- American holly                   1  21   34 39
ILOPA   Ilex opaca -- American holly                   1  21   34 39
ILOPO   Ilex opaca -- American holly                   1  21   34 39
JUCI    Juglans cinerea -- Butternut                   1  20   34 39
JUNI    Juglans nigra -- Black walnut                  1  20   34 39
JUOC    Juniperus occidentalis -- Western juniper      1   4  2   29
