# Version 5.9.1 Fuel Loading File - must be same number as the Fofem program's
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 I     027 Ponderosa Pine - Twoneedle Pinyon - Utah Juniper Forest, Fire exclusion                 x   1.48   1.02   0.30   0.12   0.50   0.20   0.30   1.00   2.00   0.00   0.00   1.00   2.00   6.00
 I     028 Ponderosa Pine Savanna,                                                                 x   1.33   3.64   0.40   0.08   0.80   0.05   0.10   0.20   0.30   0.50   0.00   0.50   1.00   2.00  PN
 I     029 Interior Ponderosa Pine - Engelmann Spruce - Douglas-fir Forest, Selection cut          x   0.60  14.84   1.40   1.46   0.20   1.00   1.50   2.00   6.00  12.00   0.00   5.00  11.00   0.00
 I     030 Turbinella Oak - Mountain Mahogany Shrubland,                                           x   1.52   0.65   0.20   1.18   0.10   0.10   0.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     032 Ponderosa Pine / Pinyon Pine - Juniper Forest, Fire exclusion, grazing                  x   2.40   2.54   0.60   0.01   0.00   0.10   0.90   1.30   1.40   0.00   0.00   0.40   0.50   5.90
 I     033 Gambel Oak / Big Sagebrush Shrubland with Old Fire, Wildfire                            x   2.80   1.72   0.40   0.28   0.23   0.20   0.20   0.20   0.20   0.00   0.00   0.00   0.00   0.00  SG
 I     034 Interior Douglas-fir - Interior Ponderosa Pine / Gambel Oak Forest, Fire exclusion      x   1.78   9.75   1.00   0.73   0.20   0.10   1.50   4.00   2.00   3.00   5.00   1.80   1.70   0.00
 P     036 Live Oak - Blue Oak Woodland, Fire exclusion, grazing                                   x   1.08   4.30   1.00   1.48   0.40   0.50   0.50   1.00   1.00   1.00   0.20   0.20   0.20   0.20
 P     037 Ponderosa Pine - Jeffrey Pine Forest, Fire exclusion, grazing                           x   0.90  22.10   2.00   1.31   0.31   0.10   1.00   1.50   1.20   2.50   0.00   0.60   2.50   0.00
 P     038 Douglas-fir - Madrone / Tanoak Forest, Fire exclusion                                   x   3.01   7.40   0.80   0.54   0.20   1.00   2.00   2.00   3.00   3.00   7.00   0.00   0.00   0.00
 P     039 Sugar Pine - Douglas-fir - Oak Forest,                                                  x   2.41   8.32   0.80   0.12   0.10   0.40   2.10   1.10   2.60   1.50   0.00   0.70   0.40   0.00
 I     040 Tobosa - Grama Grassland, Grazing, introduction of exotic species                       x   0.00   0.00   0.00   0.33   0.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 PI    041 Fescue - Wheatgrass Grassland, Fire exclusion, grazing                                  x   0.52   0.00   0.00   0.00   0.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     042 Trembling Aspen / Engelmann Spruce Forest, Fire exclusion                               x   1.16  11.22   1.30   0.01   0.40   0.30   0.70   1.80   9.00   0.60   0.00   5.00   0.00   0.00
 I     043 Arizona White Oak - Gray Oak - Emory Oak Woodland, Fire exclusion, grazing              x   0.91   2.08   0.40   0.18   0.50   0.10   0.40   0.80   1.00   0.00   0.00   0.00   0.00   0.00
 PI    044 Scrub Oak - Chaparral Shrubland,                                                        x   6.20   0.60   0.10   3.56   0.00   0.50   0.25   0.25   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     045 Pine - Oak Forest, Fire exclusion, grazing                                              x   4.46   3.90   1.00   0.55   0.10   0.40   1.00   1.00   4.00   1.00   0.00   3.00   0.50   0.00
 P     046 Chamise Chaparral Shrubland,                                                            x   0.50   3.12   0.40   4.83   0.00   0.50   1.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     047 Redwood - Tanoak Forest, Fire exclusion                                                 x   3.05  51.20   4.50   2.09   0.50   0.40   2.00   3.00   8.00  12.00   8.00   6.00   8.00   6.00
 P     048 Douglas Fir - Tanoak - Madrone - California Bay Forest,                                 x   3.23  17.00   1.50   3.37   0.10   0.50   1.00   2.00   2.00   1.50   1.50   2.00   2.00   4.00
 P     049 Creosote Bush Shrubland, Fire exclusion, grazing                                        x   0.76   0.00   0.00   0.42   0.10   0.10   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     051 Coastal Sage Shrubland,                                                                 x   9.30   0.00   0.00   3.20   0.00   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     052 Douglas-fir - Pacific Ponderosa Pine / Oceanspray Forest, Fire exclusion                x   2.13  14.28   1.10   0.24   0.21   0.40   0.90   0.40   0.40   1.10   0.60   0.40   2.40   0.00
 P     053 Pacific Ponderosa Pine Forest, Fire exclusion, insects and disease                      x   1.92  18.70   1.50   0.00   0.06   0.10   1.50   1.50   8.00   3.00   0.00   3.00   1.50   0.00
 P     054 Douglas-fir - White Fir - Interior Ponderosa Pine Forest, Fire exclusion                x   2.42  26.60   2.00   0.09   0.11   0.30   2.40   4.90   0.50   3.00   4.00   1.00   3.00   4.00
 I     055 Western Juniper / Sagebrush Savanna, Fire exclusion                                     x   0.28   0.45   0.20   0.42   0.61   0.20   0.40   0.80   0.00   0.00   0.00   0.00   0.00   0.00
 I     056 Sagebrush Shrubland, Fire exclusion, grazing, introduction of exotic species            x   0.21   0.00   0.00   1.48   0.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 I     057 Wheatgrass - Cheatgrass Grassland, Grazing, introduction of exotic species              x   0.22   0.00   0.00   0.00   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     058 Western Juniper / Sagebrush Savanna with Prescribed Burn, Prescribed fire               x   0.30   0.00   0.00   0.05   0.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 I     059 Subalpine Fir - Engelmann Spruce - Douglas-fir - Lodgepole Pine Forest,                 x   1.48  43.80   3.20   0.95   0.30   0.50   1.00   2.00   6.30   3.90   0.30   6.30   3.90   0.30
 I     060 Sagebrush Shrubland with Prescribed Burn, Prescribed fire                               x   3.45   0.00   0.00   0.41   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 I     061 Whitebark Pine / Subalpine Fir Forest, Insects and disease                              x   2.33  15.68   1.30   0.81   0.20   0.10   0.40   1.70   4.40  13.60   0.00   5.40  19.50   0.00
 P     062 Vaccinium - Heather Shrublands with Wildland Fire, Wildfire                             x   1.28   0.00   0.00   0.90   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     063 Showy Sedge - Alpine Black Sedge Grassland,                                             x   1.20   0.00   0.00   0.00   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     065 Purple tussockgrass - California Oatgrass Grassland, Fire exclusion, grazing            x   1.15   2.34   0.20   0.00   1.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     066 Bluebunch Wheatgrass - Bluegrass Grassland,                                             x   5.75  24.22   1.70   0.03   1.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     067 Interior Ponderosa Pine - Douglas-fir Forest, Fire exclusion                            x   2.03  20.80   2.00   1.42   0.75   0.50   1.40   1.20   4.00   2.00   0.00   1.60   1.00   0.00
 I     069 Western Juniper / Sagebrush - Bitterbrush Shrubland, Fire exclusion                     x   0.53   0.45   0.10   1.25   0.20   0.20   0.40   0.20   0.00   0.00   0.00   0.00   0.00   0.00  SB
 I     070 Subalpine Fir - Lodgepole Pine - Whitebark Pine - Engelmann Spruce Forest, Fire excl.   x   2.39  14.04   1.20   0.94   0.20   0.30   1.20   2.50  12.00   7.00   0.00   8.70   5.50   0.00
 P     071 Ohia / Florida Hopbush - Kupaoa Forest,                                                 x   3.67   0.00   0.00   2.24   0.60   0.40   0.50   0.80   0.40   0.00   0.00   0.50   0.00   0.00
 P     072 Ohia / Uluhe Forest,                                                                    x   5.58   0.00   0.00   0.22   6.30   0.20   0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     073 Koa / Pukiawe Forest,                                                                   x   5.44   0.00   0.00   0.29   3.00   0.90   1.40   4.50   0.10   0.10   0.10   0.10   0.10   0.10
 P     074 Mamane - Naio Savanna,                                                                  x   2.78   0.00   0.00   0.12   0.72   0.20   0.70   2.20   1.90   0.00   0.00   1.90   0.00   0.00
 P     075 Slash Pine / New Caledonia Pine Forest, Introduction of exotic species                  x   7.50  49.40   4.00   0.06   0.00   0.10   1.20   1.90   0.50   1.50   1.00   0.50   1.50   1.00
 P     076 Slash Pine / Molasses Grass Forest, Introduction of exotic species                      x   6.14  50.73   4.80   0.01   3.02   0.10   0.40   0.50   0.50   1.50   0.30   0.50   1.50   0.30
 P     077 Eucalyptus Plantation Forest, Introduction of exotic species                            x   5.58  50.96   4.00   0.58   0.05   0.80   3.30   4.20   4.00   1.00   6.00   2.00   0.50   0.50
 P     078 Florida Hopbush - Mauna Loa Beggarticks Shrubland,                                      x   3.98   0.00   0.00   2.75   0.90   1.10   2.50   0.60   0.00   0.00   0.00   0.00   0.00   0.00
 P     079 Pili Grass - Broomsedge Bluestem Grassland, Grazing, introduction of exotic species     x   2.30   0.00   0.00   0.35   2.50   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     080 Fountain Grass Grassland, Introduction of exotic species                                x   1.61   0.00   0.00   0.08   5.10   0.10   0.30   0.30   0.00   0.00   0.00   0.00   0.00   0.00
 P     081 Columbia Bluestem / Pukiawe Grassland, Introduction of exotic species                   x   2.95   0.00   0.00   0.21   3.82   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     082 White Leadtree / Guinea Grass Shrubland, Introduction of exotic species                 x   2.38   0.00   0.00   0.12   4.50   0.20   0.30   0.10   0.00   0.00   0.00   0.00   0.00   0.00
 P     083 Molasses Grass Grassland, Introduction of exotic species                                x   4.63   0.00   0.00   1.52   5.00   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 P     084 Ohia / Broomsedge Bluestem Savanna, Introduction of exotic species                      x   5.08   0.00   0.00   2.02   4.00   0.10   0.20   0.50   0.00   0.00   0.00   0.00   0.00   0.00
 PI    085 Black Spruce / Lichen Forest,                                                           x   3.14  53.60   6.00   0.73   0.07   0.20   0.30   1.00   1.50   0.00   0.00   1.00   0.00   0.00
 PI    086 Black Spruce / Feathermoss Open Forest,                                                 x   4.79  52.00   6.00   0.73   0.04   0.20   0.30   1.00   1.50   0.00   0.00   1.00   0.00   0.00
 PI    087 Black Spruce / Feathermoss Closed Forest,                                               x   6.05  64.40   6.00   0.42   0.03   0.10   0.20   0.50   1.00   0.00   0.00   0.50   0.00   0.00
 PI    088 Black Spruce / Sphagnum Moss Forest,                                                    x  21.80 441.00  35.00   0.28   0.04   0.20   0.30   1.00   1.00   0.00   0.00   1.00   0.00   0.00
 PI    089 Black Spruce / Sheathed Cottonsedge Woodland,                                           x  13.50 270.00  20.00   0.19   1.02   0.20   0.30   1.00   1.00   0.00   0.00   1.00   0.00   0.00
 I     090 White Oak - Northern Red Oak Forest,                                                    x   6.20  22.10   2.00   0.32   0.01   1.00   1.40   1.50   5.00   4.00   0.00   1.00   0.00   0.00
 PI    091 White Spruce / Prickly Rose Forest,                                                     x   6.10  48.60   5.00   0.55   0.05   0.20   0.40   1.20   1.50   0.00   0.00   0.50   0.00   0.00
 PI    092 Aspen - Paper Birch - White Spruce - Black Spruce Forest,                               x   5.24  30.60   3.00   0.28   0.03   0.40   0.60   1.50   3.00   0.00   0.00   1.50   0.00   0.00
 PI    093 Paper birch - Trembling Aspen Forest,                                                   x   6.82  37.80   4.00   0.34   0.02   0.30   0.40   0.80   3.00   3.00   0.00   1.00   1.00   0.00
 PI    094 Balsam Poplar - Trembling Aspen Forest,                                                 x   6.35  30.60   3.00   0.47   0.03   0.20   0.30   1.50   2.00   1.00   0.00   1.00   0.50   0.00
 PI    095 Willow - Alder Shrubland,                                                               x   3.10  23.40   2.00   2.11   0.10   0.20   0.50   0.50   0.50   0.00   0.00   0.40   0.00   0.00
 PI    097 Cottongrass Grassland,                                                                  x   4.55 150.00  10.00   0.11   3.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 PI    098 Marsh Labrador Tea - Lingonberry Tundra Shrubland,                                      x   3.68   7.60   2.00   1.13   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
