# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This version was create from the spreadsheet Oct-11-2012 DCL
#
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200       210
#23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R  Foli  Bran   CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 S     157 Loblolly pine -- shortleaf pine -- mixed hardwoods fores                                x   5.76  11.05   1.00   3.20   0.11   1.00   1.30   1.30   0.70   0.70   0.70   0.90   0.00   0.00   9.77   2.44
 S     158 Loblolly pine -- shortleaf pine -- mixed hardwoods fores                                x   8.63  11.05   1.00   5.28   0.11   0.30   1.10   1.90  10.40  10.00   9.00   7.00   4.00   0.00  12.21   3.05
 S     161 Loblolly pine -- slash pine forest                                                      x   2.85  12.35   1.00   1.08   0.11   1.20   0.84   0.25   0.50   0.00   0.00   1.00   0.00   0.00   2.54   0.63
 S     162 Loblolly pine -- slash pine forest                                                      x   2.70  12.35   1.00   1.63   0.11   0.50   4.30   3.70   2.70   0.00   0.00   1.60   0.00   0.00   2.15   0.54
 S     164 Sand pine forest                                                                        x   1.93   7.80   1.00   2.36   0.01   1.50   1.50   0.30   1.00   0.50   0.00   0.10   0.00   0.00   2.67   0.67
 S     165 Longleaf pine / three-awned grass -- pitcher plant savan                                x   1.05   1.30   0.50   2.19   0.35   0.10   0.16   0.14   0.20   0.10   0.00   0.00   0.00   0.00   0.35   0.09
 S     166 Longleaf pine / three-awned grass -- pitcher plant savan                                x   1.10  17.68   1.60   9.23   0.21   0.20   0.50   0.30   0.50   0.20   0.00   0.00   0.00   0.00   4.08   1.02
 S     168 Gallberry -- fetterbush shrubland                                                       x   2.15 356.00  45.50   6.15   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.02  SG
 S     170 Pond pine / gallberry -- fetterbush shrubland                                           x   3.22 223.20  10.50   7.53   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.68   0.17  SG
 S     173 Live oak / sea oats savanna                                                             x   0.17   0.00   0.00   0.70   0.20   0.20   0.20   0.50   0.00   0.00   0.00   0.00   0.00   0.00   1.18   0.29
 S     174 Live oak -- sabal palm forest                                                           x   5.17   6.38   0.75   4.18   0.20   0.50   0.50   0.50   1.50   1.00   0.00   0.00   0.00   0.00   8.30   2.08
 S     175 Smooth cordgrass -- black needlerush grassland                                          x   3.11 110.00  12.50   0.00   4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 S     176 Smooth cordgrass -- black needlerush grassland                                          x   6.21 298.80  19.00   0.00   4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 S     178 Loblolly pine -- shortleaf pine forest                                                  x   4.55  13.26   1.20   3.05   0.10   0.90   3.60   6.20  10.60   0.00   0.00   4.40   1.40   0.00   2.87   0.72
 S     180 Red maple -- oak -- hickory -- sweetgum forest                                          x   6.20  20.80   2.00   1.49   0.25   0.40   0.70   1.40   1.80   1.80   0.00   0.50   0.70   0.00   9.72   2.43
 S     181 Pond pine forest                                                                        x   3.09  56.00   5.00   5.10   0.00   1.00   1.50   1.50   2.00   1.00   0.50   0.50   0.50   0.00   4.50   1.12
 S     182 Longleaf pine -- slash pine / saw palmetto -- gallberry                                 x   3.61  36.40   4.00   9.80   0.20   0.10   0.40   0.30   0.50   0.00   0.00   0.00   0.00   0.00   2.01   0.50
 S     183 Loblolly pine -- shortleaf pine forest                                                  x   4.55  13.26   1.20   3.75   0.20   0.90   4.00   8.20  10.60   0.00   0.00   4.40   1.40   0.00   2.53   0.63
 S     184 Longleaf pine / turkey oak forest                                                       x   4.68   5.00   1.25   1.21   0.20   0.10   0.50   1.00   0.80   0.00   0.00   0.20   0.00   0.00  13.00   3.25
 S     185 Longleaf pine / turkey oak forest                                                       x   1.07   0.52   0.40   0.45   0.20   0.10   0.20   0.20   0.10   0.00   0.00   0.00   0.00   0.00   3.72   0.93
 S     186 Turkey oak -- bluejack oak forest                                                       x   4.71   6.53   0.75   1.20   0.10   0.20   0.50   0.14   0.30   0.50   0.00   0.10   0.10   0.00  10.30   2.57
 S     187 Longleaf pine / yaupon forest                                                           x   3.35  10.13   1.25   2.02   0.20   0.80   4.00   6.20   1.20   1.50   0.00   0.20   0.00   0.00   3.47   0.87
 S     188 Sand pine -- oak forest                                                                 x   2.10  11.70   1.00   1.33   0.00   0.40   0.60   0.40   1.10   0.00   0.00   0.00   0.00   0.00   3.81   0.95
 S     189 Sand pine -- oak forest                                                                 x   2.06  20.59   1.60   1.31   0.00   0.60   0.70   0.80   4.10   2.10   0.00   0.20   0.20   0.00   7.56   1.89
 S     190 Slash pine -- longleaf pine / gallberry forest                                          x   1.24  16.58   1.50  13.14   0.10   0.15   0.40   0.30   1.20   0.00   0.00   0.10   0.00   0.00   2.95   0.74
 S     191 Longleaf pine -- slash pine / gallberry forest                                          x   2.51   4.16   0.40   5.27   0.20   0.08   0.35   0.40   1.00   0.00   0.00   0.00   0.00   0.00   1.59   0.40
 S     196 Loblolly pine / bluestem forest                                                         x   5.39   1.69   0.20   0.64   0.10   0.30   0.56   0.15   0.50   0.00   0.00   1.00   0.50   0.00   0.26   0.06
 S     203 Sawgrass -- Muhlenbergia grassland                                                      x   4.60   5.00   0.50   0.00   3.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     208 Grand fir -- Douglas-fir forest                                                         x   1.10  23.14   2.00   2.21   0.06   0.50   1.60   3.30   4.30   8.90   3.40   0.80   1.60   0.60   9.31   2.33
 I     210 Pinyon -- Utah juniper woodland                                                         x   0.45   0.52   0.20   1.51   0.10   0.20   0.40   1.00   0.30   0.00   0.00   0.20   0.20   0.00   1.02   0.26
 I     211 Interior ponderosa pine forest                                                          x   2.58   5.70   0.50   0.28   0.11   0.10   0.50   0.90   0.40   1.20   0.00   0.40   0.30   0.00   5.79   1.45  PN
 P     212 Pacific ponderosa pine forest                                                           x   0.82  21.60   1.50   0.00   0.06   1.00   3.20   3.00  40.00   3.00   0.00   1.70   1.00   0.00   4.16   1.04  PN
 I     213 Wheatgrass -- cheatgrass grassland                                                      x   0.00   0.00   0.00   0.00   0.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     214 Giant sequoia -- white fir -- sugar pine forest                                         x   2.00  13.32   1.10   1.26   0.06   0.50   1.50   1.50   0.50   4.00  21.00   0.20   2.00   4.00   7.49   1.87
 P     215 Douglas-fir -- madrone / tanoak forest                                                  x   0.23   2.00   0.20   0.63   0.05   0.80   1.10   0.90   2.50   3.10  14.80   1.00   1.00   2.00   7.54   1.89
 I     216 Gambel oak -- bigtooth maple forest                                                     x   2.40  13.60   1.50   0.79   0.15   1.00   1.10   1.90   1.90   0.00   0.00   0.00   0.00   0.00  14.75   3.69
 I     217 Gambel oak -- bigtooth maple forest                                                     x   2.93   6.88   0.70   0.66   0.11   0.10   0.20   1.40   1.60   0.00   0.00   0.00   0.00   0.00   9.76   2.44
 I     218 Gambel oak / big sagebrush shrubland                                                    x   0.93   3.90   0.60   1.64   0.11   0.20   0.60   1.00   0.50   0.00   0.00   0.00   0.00   0.00   5.25   1.31  SB
 I     219 Ponderosa pine -- white fir / quaking aspen forest                                      x   2.59  24.96   2.00   0.03   0.11   0.30   1.70   2.50   2.70   2.60   1.50   1.20   4.30   1.80   9.48   2.37  PN
 I     220 Ponderosa pine -- white fir / quaking aspen forest                                      x   1.14   7.92   0.60   0.12   0.11   0.20   1.00   0.80   2.40   2.10   1.20   1.20   1.00   0.80   8.60   2.15  PN
 P     221 Wheatgrass -- ryegrass grassland                                                        x   2.48   0.00   0.00   0.00   0.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     222 Interior ponderosa pine forest                                                          x   1.35   2.34   0.20   0.15   0.02   0.10   0.30   0.20   0.50   1.00   0.00   0.30   0.00   0.00   6.35   1.59  PN
 I     223 Douglas-fir -- white fir -- interior ponderosa pine fore                                x   0.77   1.86   0.20   0.16   0.11   0.10   0.20   0.70   0.60   2.60   0.00   1.50   1.90   0.00   9.20   2.30  PN
 I     224 Quaking aspen forest                                                                    x   0.83  11.88   0.90   1.11   1.05   0.20   0.60   1.80   5.90   1.90   0.00   2.80   0.90   0.00  16.87   4.22
 I     225 Quaking aspen forest                                                                    x   0.78   1.04   0.40   0.90   0.55   0.10   0.10   1.60   6.90   3.30   2.10   1.80   1.00   0.00  11.87   2.97
 I     226 White fir -- gambel oak forest                                                          x   1.20  23.40   1.80   0.09   0.08   0.60   0.90   1.20   7.10   0.00   0.00   1.50   0.00   0.00  14.43   3.61
 I     227 White fir forest                                                                        x   1.20  19.80   1.40   0.11   0.06   0.30   0.40   1.00   6.70   0.00   0.00   1.50   5.90   0.00  12.40   3.10
 I     228 Interior ponderosa pine -- limber pine forest                                           x   0.90   5.46   0.60   2.72   0.21   0.10   0.60   0.60   0.80   0.70   1.00   0.10   0.90   0.00   4.21   1.05  PN
 I     229 Ponderosa pine / Utah juniper forest                                                    x   1.05   1.36   0.30   0.01   0.05   0.20   1.00   1.20   2.30   0.00   0.00   0.00   0.00   0.00   7.24   1.81  PN
 I     230 Pinyon -- Utah juniper forest                                                           x   0.27   1.56   0.40   0.04   0.06   0.20   0.50   0.20   0.50   0.50   0.00   0.00   0.00   0.00   4.56   1.14
 I     231 Gambel oak -- Rocky Mountain juniper -- ponderosa pine f                                x   0.92   4.68   1.20   3.05   0.12   0.50   0.50   2.00   5.00   2.00   0.00   1.00   1.00   0.00   4.76   1.19
 I     232 Mesquite savanna                                                                        x   0.22   0.00   0.00   1.30   0.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.17   0.04
 I     233 Sagebrush shrubland                                                                     x   0.00   0.00   0.00   3.56   0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 I     234 Sagebrush shrubland                                                                     x   0.00   0.00   0.00   0.69   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 P     235 Idaho fescue -- bluebunch wheatgrass grassland                                          x   0.10   0.00   0.00   0.00   2.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     236 Tobosa -- grama grassland                                                               x   0.00   0.00   0.00   0.23   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     237 Huckleberry -- heather shrubland                                                        x   0.16   0.00   0.00   6.06   0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     238 Pacific silver fir -- mountain hemlock forest                                           x   1.72  25.48   2.00   0.45   0.10   0.20   0.20   0.40   0.20   6.00   2.50   0.50  17.00   7.00   7.50   1.88 WPH
 P     239 Douglas-fir -- sugar pine -- tanoak forest                                              x   0.24   4.71   0.40   4.80   0.02   0.30   0.80   1.20   1.00   1.00   0.00   8.00   6.00   1.00   8.43   2.11
 S     240 Saw palmetto / three-awned grass shrubland                                              x   2.02  20.00   2.00   6.05   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.02  SG
 S     241 Longleaf pine -- loblolly pine forest                                                   x   2.61   7.41   0.60   2.71   0.20   0.20   3.50   6.00  14.50  21.50   0.00   0.40   0.60   0.00   4.64   1.16
 S     242 Longleaf pine -- loblolly pine forest                                                   x   0.06   2.47   0.20   1.50   0.30   0.02   1.50   3.00  12.00  18.00   0.00   0.40   0.60   0.00   4.62   1.15
 S     243 Pitch pine / scrub oaks shrubland                                                       x   2.00   6.83   0.70   0.51   0.10   1.50   0.90   1.40   2.10   0.50   0.00   0.00   0.00   0.00   1.52   0.38  SG
 P     260 Ohia / uluhe forest                                                                     x   5.30   0.00   0.00   0.42   6.00   0.10   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.32   0.33
 P     261 Pili grass -- broomsedge bluestem grassland                                             x   0.17   0.00   0.00   0.94   2.00   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     262 Molasses grass grassland                                                                x   4.37   0.00   0.00   0.34   6.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     263 Ohia / broomsedge bluestem savanna                                                      x   2.07   0.00   0.00   1.38   3.00   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.03   0.01
 S     264 Post oak -- blackjack oak forest                                                        x   2.75   2.94   0.40   2.70   1.25   0.30   0.70   1.00   0.00   0.00   0.00   0.00   0.00   0.00   8.41   2.10
 I     265 Balsam fir -- white spruce -- mixed hardwoods forest                                    x   2.43  11.20   2.00   1.72   1.00   0.50   0.60   1.60   1.10   2.00   4.00   0.20   1.00   1.00   7.31   1.83 BBS
 N     266 Sugar maple -- basswood forest                                                          x   2.79  11.70   1.00   0.90   0.35   0.50   1.00   1.00   3.00   2.00   0.20   0.50   1.00   0.20  15.60   3.90
 N     267 American beech -- yellow birch -- sugar maple -- red spr                                x   4.32  18.70   1.50   0.39   0.10   0.50   1.00   1.00   1.50   5.00   0.20   0.50   1.00   0.20  12.98   3.24
 N     268 American beech -- yellow birch -- sugar maple -- eastern                                x   4.32  18.70   1.50   0.35   0.10   0.50   1.00   1.00   1.50   5.00   0.20   0.50   1.00   0.20  14.00   3.50
 S     269 Sugar maple -- yellow poplar -- American beech -- oak fo                                x   5.58  23.40   2.00   0.89   0.50   1.00   1.00   2.00   3.00   2.00   0.50   2.30   0.50   0.00  28.86   7.21
 S     270 Red spruce -- Fraser fir / rhododendron forest                                          x   4.25  20.80   2.00  23.78   0.10   0.80   1.40   1.50  15.00  12.00   0.00   2.00   2.00   0.00   5.89   1.47 BBS
 S     272 Mangrove forest                                                                         x   0.39 356.00  40.00   2.52   0.25   0.25   1.00   4.20   0.20   0.00   0.00   3.00   0.00   0.00   1.65   0.41
 I     273 Engelmann spruce -- Douglas-fir -- white fir -- interior                                x   1.49  16.64   1.60   0.14   0.07   0.25   1.50   3.00   5.00   4.50   0.00   1.00   1.50   0.00   8.35   2.09
 N     274 American beech -- sugar maple forest                                                    x   2.79  11.70   1.00   2.01   0.75   0.30   0.75   1.00   2.00   2.00   0.20   0.50   1.00   0.20  20.68   5.17
 S     275 Chestnut oak -- white oak -- northern red oak forest                                    x   4.98   9.95   0.90   7.98   0.15   0.60   0.90   1.50   0.40   0.00   0.00   0.80   0.20   0.00  10.94   2.74
 S     276 Oak -- pine -- magnolia forest                                                          x   5.87   6.38   0.75   1.50   0.11   0.50   0.50   1.00   3.00   1.00   0.50   0.00   0.00   0.00  15.63   3.91
 N     279 Black spruce -- northern white cedar -- larch forest                                    x   9.46 342.00  24.00   2.61   0.02   0.40   1.00   2.00   4.00   2.00   0.00   2.00   1.00   0.00   5.05   1.26 BBS
 S     280 Bluestem -- Gulf cordgrass grassland                                                    x   2.14   0.00   0.00   0.69   3.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 S     281 Shortleaf pine -- post oak -- black oak forest                                          x   4.88  12.35   1.00   0.87   0.01   0.60   0.90   2.30   3.80   6.10   0.00   1.10   0.00   0.00   7.59   1.90
 S     282 Loblolly pine forest                                                                    x   5.73  22.10   2.00   0.94   0.02   0.60   1.70   2.00   3.00   2.00   0.00   0.20   0.00   0.00   7.18   1.80
 S     283 Willow oak -- laurel oak -- water oak forest                                            x   0.31   1.30   1.00   4.05   0.01   0.10   0.20   1.50   1.50   1.50   0.00   0.50   0.50   0.00  18.52   4.63
 I     284 Green ash -- American elm -- silver maple -- cottonwood                                 x   0.93   1.30   1.00   1.60   0.11   0.00   0.20   1.50   1.50   1.50   0.00   0.50   0.50   0.00  17.05   4.26
 I     286 Limber pine -- interior ponderosa pine forest                                           x   2.09  12.74   1.40   1.34   0.11   0.20   1.00   1.00   1.00   6.00   2.00   2.00   5.00  10.00   3.00   0.75  PN
 N     287 Eastern white pine -- eastern hemlock forest                                            x   2.81  11.05   1.00   0.76   0.01   0.20   0.40   0.90   0.30   0.00   0.00   0.60   0.30   0.00  11.93   2.98 WPH
 S     288 Bald cypress -- water tupelo forest                                                     x   0.91   5.20   1.00   1.20   0.01   0.20   0.20   0.50   1.00   1.00   1.00   1.00   2.00   2.00   8.94   2.24
 S     289 Pond cypress / Muhlenbergia -- sawgrass savanna                                         x   4.44  30.00   2.00   0.00   3.00   0.10   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.07   0.02
 S     291 Longleaf pine -- slash pine / saw palmetto forest                                       x   3.61  15.40   1.50   8.00   0.20   0.02   0.40   0.30   0.50   0.00   0.00   0.00   0.00   0.00   2.01   0.50
 P     301 Fremont cottonwood -- California sycamore forest                                        x   1.19   2.00   0.50   1.45   0.20   0.20   0.30   0.10   0.00   0.00   0.00   0.10   0.00   0.00  10.32   2.58
 I     302 Willow / sedge grassland                                                                x   0.11   0.40   0.50   1.80   0.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 PI    303 Cottonwood / willow savanna                                                             x   1.52   2.00   0.50   1.59   0.05   0.20   0.30   0.10   0.00   0.00   0.00   0.10   0.00   0.00   5.51   1.38
 I     304 Engelmann spruce -- subalpine fir / horsetail forest                                    x   2.70  28.50   3.00   1.19   0.02   0.40   1.00   2.00   4.00   2.00   0.00   2.00   1.00   0.00   6.85   1.71
 P     305 Red alder forest                                                                        x   1.61  15.00   1.00   2.70   0.10   0.20   0.80   1.30   0.50   0.50   0.00   3.00   2.00   0.00  10.74   2.69
 P     306 Knobcone pine forest                                                                    x   2.09  12.74   1.40   1.34   0.11   0.20   1.00   1.00   1.00   6.00   2.00   2.00   5.00  10.00   2.71   0.68
 PI    307 Paloverde shrubland                                                                     x   0.00   0.00   0.00   0.53   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 PI    308 Low sagebrush shrubland                                                                 x   0.00   0.00   0.00   3.56   0.06   0.06   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 PI    309 Blackbrush shrubland                                                                    x   0.00   0.00   0.00   0.55   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     310 Greasewood shrubland                                                                    x   0.05   0.00   0.00   2.14   0.10   0.10   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     311 Saltbush shrubland                                                                      x   0.05   0.00   0.00   1.07   0.10   0.10   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     312 Gambel oak / sagebrush shrubland                                                        x   0.93   1.20   0.30   1.64   0.11   0.20   0.20   1.00   0.50   0.00   0.00   0.00   0.00   0.00   7.03   1.76  SB
 I     313 Mountain mahogany shrubland                                                             x   0.78   1.20   0.30   0.71   0.10   0.20   0.20   1.00   0.50   0.00   0.00   0.00   0.00   0.00   1.14   0.28  SG
 PI    314 Limber pine -- bristlecone pine forest                                                  x   1.40   1.12   0.20   0.91   0.20   0.10   0.40   1.70   4.40  13.60   0.00   1.00   0.50   0.00   6.06   1.51
 I     315 Showy sedge -- Black alpine sedge grassland                                             x   0.11   2.00   0.50   0.00   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     316 Coyotebush -- ceanothus shrubland                                                       x   8.37   0.00   0.00  16.93   0.30   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     317 Bigtooth maple forest                                                                   x   1.61   4.00   0.50   0.58   0.10   0.20   0.80   1.30   0.50   0.50   0.00   3.00   2.00   0.00   0.63   0.16
 PINS  318 Bluejoint reedgrass -- water sedge grassland                                            x   0.40   2.25   1.00   0.00   1.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     319 Pacific silver fir -- Sitka alder forest                                                x   1.11   1.20   0.30   0.00   0.00   0.30   0.40   0.90   1.10   0.00   0.00   0.10   0.00   0.00   1.86   0.47  SG
 PI    320 Western larch forest                                                                    x   2.40  14.88   1.70   0.92   0.11   0.70   2.10   4.40   0.70   3.50   0.00   0.70   8.00   1.00   7.13   1.78
 P     321 Western hemlock -- Alaska cedar forest                                                  x   1.57  45.75   3.00   1.36   0.16   0.50   1.00   2.00   2.00   3.00   1.00   1.00   3.00   2.00   7.20   1.80 WPH
 P     322 Sitka spruce -- western hemlock forest                                                  x   3.07  57.00   5.00   2.37   0.20   1.30   1.00   1.00   2.00   4.00   5.00   2.00   4.00   5.00  14.45   3.61 WPH
 P     323 Trembling aspen / sagebrush boreal woodland                                             x   0.06   0.10   0.10   3.48   0.20   0.20   0.40   0.20   0.10   0.00   0.00   0.00   0.00   0.00   1.90   0.48
 P     324 White spruce woodland                                                                   x   3.24 104.80   9.00   0.98   0.00   0.20   0.50   0.50   0.50   0.00   0.00   0.40   0.00   0.00   2.48   0.62 BBS
 P     325 White spruce -- mountain hemlock forest                                                 x   1.59  25.48   2.00   2.27   0.10   0.20   0.20   0.40   0.20   5.00   0.00   0.50   5.00   0.00   7.99   2.00 BBS
 P     326 Willow --  birch shrubland                                                              x   3.24   4.68   0.40   3.59   0.05   0.20   0.50   0.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     327 Marsh Labrador tea / cottongrass grassland                                              x   5.52 135.00  10.00   0.41   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     328 Hemlock / sedge -- cottongrass savanna                                                  x   5.53 135.00  10.00   0.73   1.00   0.10   0.20   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.14   0.03 WPH
 P     329 Mountain heath tundra shrubland                                                         x   0.27   0.30   0.25   6.70   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     330 American dunegrass grassland                                                            x   1.73   1.00   0.25   0.00   0.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     331 Sitka alder -- salmonberry shrubland                                                    x   2.79  15.30   1.50   7.49   0.10   0.20   0.50   0.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     332 Balsam poplar -- paper birch forest                                                     x   5.73  23.40   2.00   1.00   0.03   0.20   0.30   1.50   2.00   1.00   0.00   1.00   0.50   0.00  16.41   4.10
 P     333 Dryas tundra shrubland                                                                  x   0.22   0.00   0.00   1.34   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     334 Mountain heather tundra shrubland                                                       x   0.27   0.30   0.25   6.04   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     335 Sweetgale shrubland                                                                     x   5.43  72.00   6.00   2.24   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     336 Lyngbye's sedge -- alkaligrass grassland                                                x   0.81   6.50   1.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     337 Softstem bulrush -- needle spikerush grassland                                          x   0.98  13.50   1.00   0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     338 Water sedge -- tall cottongrass grassland                                               x   0.98   3.80   0.50   0.94   0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     339 Nootka lupine -- sedge grassland                                                        x   0.89   3.40   0.50   0.01   0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 NS    401 Holly -- privet shrubland                                                               x   4.53  13.26   1.20   5.51   0.20   0.20   1.00   2.00   2.00   0.00   0.00   4.40   1.40   0.00   0.15   0.04  SG
 NS    402 Pine / holly -- privet forest                                                           x   4.59  13.26   1.20   2.53   0.10   0.90   3.60   6.20  10.60   0.00   0.00   4.40   1.40   0.00   0.32   0.08
 S     403 Post oak -- blackjack oak -- white oak forest                                           x   2.79   1.82   0.20   1.06   0.13   0.30   0.70   1.00   0.00   0.00   0.00   0.00   0.00   0.00   2.07   0.52
 NS    404 Yellow poplar -- sugar maple -- basswood forest                                         x   5.58   7.20   1.00   2.76   0.30   1.00   1.00   2.00   3.00   2.00   0.50   2.30   0.50   0.00  32.08   8.02
 NS    405 Northern red oak montane forest                                                         x   2.79   1.82   0.20   4.59   0.13   0.30   0.70   1.00   0.00   0.00   0.00   0.00   0.00   0.00   5.46   1.36
 S     406 American beech -- southern magnolia -- oak forest                                       x   5.89   6.38   0.75   1.24   0.08   0.50   0.50   1.00   3.00   1.00   0.50   0.00   0.00   0.00  17.22   4.30
 S     407 Darlington oak  forest                                                                  x   7.91   6.80   1.00   1.13   0.08   0.60   1.20   1.60   1.50   1.80   0.00   0.80   0.00   0.00  14.56   3.64
 N     408 Quaking aspen -- bur oak forest                                                         x   0.62   1.20   0.50   2.24   0.14   0.20   0.50   1.00   1.50   0.00   0.00   1.00   0.00   0.00   4.86   1.22  GG
 N     409 Virginia pine -- chestnut oak / little bluestem forest                                  x   0.58   2.00   0.50   0.48   0.20   0.10   0.20   0.20   0.10   0.00   0.00   0.00   0.00   0.00   2.03   0.51
 S     410 Table Mountain pine -- chestnut oak forest                                              x   2.59   6.00   1.00   8.50   0.05   0.10   0.50   0.50   0.10   0.00   0.00   0.20   0.00   0.00   2.63   0.66
 S     411 Ashe juniper -- oak savanna                                                             x   0.23   0.39   0.20   1.71   0.23   0.20   0.40   0.80   0.20   0.00   0.00   0.00   0.00   0.00   1.81   0.45
 N     412 Dwarf bilberry -- bog blueberry shrubland                                               x   1.01   5.20   1.00   3.74   0.03   0.20   0.70   0.70   0.00   0.00   0.00   0.00   0.00   0.00   0.32   0.08  SG
 N     413 Pin oak / bluestem forest                                                               x   2.47   1.92   0.40   0.86   0.50   0.20   0.50   0.50   1.00   0.50   0.00   0.20   0.00   0.00   5.08   1.27
 S     414 Eastern redcedar / big bluestem savanna                                                 x   0.27   0.39   0.20   1.39   0.60   0.20   0.40   0.80   0.00   0.00   0.00   0.00   0.00   0.00   3.52   0.88
 S     415 Bluestem -- forb grassland                                                              x   0.94   1.12   0.20   0.05   0.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.03  GG
 NS    416 Chinkapin oak -- eastern redcedar / bluestem savanna                                    x   0.61   2.60   0.40   0.82   0.31   0.10   0.10   0.10   0.10   0.00   0.00   0.00   0.00   0.00   1.29   0.32
 S     417 Little bluestem -- blackseed speargrass grassland                                       x   0.66   1.12   0.20   0.00   0.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.16   0.04  GG
 N     418 White spruce / juniper / little bluestem savanna                                        x   1.21   2.60   0.40   0.29   0.30   0.10   0.10   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.49   0.12 BBS
