# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This version was create from the spreadsheet Oct-11-2012 DCL
#
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200       210
#23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R  Foli  Bran   CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 I     030 Turbinella oak -- alderleaf mountain mahogany shrubland                                 x   0.76   0.65   0.20   4.35   0.10   0.10   0.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     032 Ponderosa pine / pinyon pine -- Utah juniper forest                                     x   0.96   2.54   0.60   0.03   0.00   0.10   0.90   1.30   1.40   0.00   0.00   0.40   0.50   5.90   6.54   1.63  PN
 I     033 Gambel oak / big sagebrush shrubland                                                    x   1.96   1.72   0.40   0.83   0.23   0.20   0.20   0.20   0.20   0.00   0.00   0.00   0.00   0.00   1.58   0.40  SB
 I     034 Interior Douglas-fir -- interior ponderosa pine / gambel                                x   1.33   9.75   1.00   2.22   0.20   0.10   1.50   4.00   2.00   3.00   5.00   1.80   1.70   0.00   3.51   0.88  PN
 P     036 California live oak -- blue oak woodland                                                x   0.54   4.30   1.00   3.22   0.40   0.50   0.50   1.00   1.00   1.00   0.20   0.20   0.20   0.20   0.97   0.24
 P     037 Ponderosa pine -- Jeffrey pine forest                                                   x   0.76  22.10   2.00   3.10   0.31   0.10   1.00   1.50   1.20   2.50   0.00   0.60   2.50   0.00   6.93   1.73  PN
 P     038 Douglas-fir -- madrone -- tanoak forest                                                 x   3.01   7.40   0.80   1.27   0.20   1.00   2.00   2.00   3.00   3.00   7.00   0.00   0.00   0.00  15.04   3.76
 P     039 Sugar pine -- Douglas-fir -- oak forest                                                 x   1.93   8.32   0.80   0.32   0.10   0.40   2.10   1.10   2.60   1.50   0.00   0.70   0.40   0.00  15.77   3.94
 I     040 Tobosa -- grama grassland                                                               x   0.00   0.00   0.00   1.44   0.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 PI    041 Idaho fescue -- bluebunch wheatgrass grassland                                          x   0.18   0.00   0.00   0.00   0.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     042 Quaking aspen / Engelmann spruce forest                                                 x   0.70  11.22   1.30   0.02   0.40   0.30   0.70   1.80   9.00   0.60   0.00   5.00   0.00   0.00   5.84   1.46
 I     043 Arizona white oak -- gray oak -- Emory oak woodland                                     x   0.37   2.08   0.40   0.95   0.50   0.10   0.40   0.80   1.00   0.00   0.00   0.00   0.00   0.00   2.89   0.72
 PI    044 Scrub oak chaparral shrubland                                                           x   4.65   0.60   0.10   9.82   0.00   0.50   0.25   0.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 I     045 Pine -- oak forest                                                                      x   2.23   3.90   1.00   1.77   0.10   0.40   1.00   1.00   4.00   1.00   0.00   3.00   0.50   0.00   2.27   0.57
 P     046 Chamise chaparral shrubland                                                             x   0.30   3.12   0.40  12.23   0.00   0.50   1.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     047 Redwood -- tanoak forest                                                                x   2.45  51.20   4.50   2.85   0.50   0.40   2.00   3.00   8.00  12.00   8.00   6.00   8.00   6.00  12.07   3.02
 P     048 Douglas-fir -- tanoak -- madrone -- California bay fores                                x   3.23  17.00   1.50   6.06   0.10   0.50   1.00   2.00   2.00   1.50   1.50   2.00   2.00   4.00  17.33   4.33
 P     049 Creosote bush shrubland                                                                 x   0.05   0.00   0.00   1.08   0.10   0.10   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     051 Coastal sage shrubland                                                                  x   8.37   0.00   0.00   9.22   0.00   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 P     052 Douglas-fir -- Pacific ponderosa pine / oceanspray fores                                x   1.92  14.28   1.10   0.50   0.21   0.40   0.90   0.40   0.40   1.10   0.60   0.40   2.40   0.00  10.83   2.71  PN
 P     053 Pacific ponderosa pine forest                                                           x   1.65  18.70   1.50   0.00   0.06   0.10   1.50   1.50   8.00   3.00   0.00   3.00   1.50   0.00   7.71   1.93  PN
 P     054 Douglas-fir -- white fir -- interior ponderosa pine fore                                x   2.30  26.60   2.00   0.26   0.11   0.30   2.40   4.90   0.50   3.00   4.00   1.00   3.00   4.00  20.60   5.15  PN
 I     055 Western juniper / sagebrush savanna                                                     x   0.05   0.39   0.20   1.28   0.61   0.20   0.40   0.80   0.00   0.00   0.00   0.00   0.00   0.00   3.58   0.90  SB
 I     056 Sagebrush shrubland                                                                     x   0.05   0.00   0.00   4.50   0.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 I     057 Wheatgrass -- cheatgrass grassland                                                      x   0.03   0.00   0.00   0.00   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     058 Western juniper / sagebrush savanna                                                     x   0.03   0.00   0.00   0.15   0.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   2.85   0.71  SB
 I     059 Subalpine fir -- Engelmann spruce -- Douglas-fir -- lodg                                x   0.91  43.80   3.20   2.87   0.30   0.50   1.00   2.00   6.30   3.90   0.30   6.30   3.90   0.30   5.03   1.26
 I     060 Sagebrush shrubland                                                                     x   0.11   0.00   0.00   0.97   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SB
 I     061 Whitebark pine / subalpine fir forest                                                   x   1.40  15.68   1.30   0.91   0.20   0.10   0.40   1.70   4.40  13.60   0.00   5.40  19.50   0.00   9.26   2.31
